
>>> Condition Data >>>

    1095251 of 4400220000 molecules passed the conditions (0.02 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 1974:     0.0050 percent of the time (1 hits)
  - 1981:     2.4599 percent of the time (492 hits)
  - 1982:     2.0299 percent of the time (406 hits)
  - 1986:    73.9963 percent of the time (14800 hits)
  - 1991:     0.0050 percent of the time (1 hits)
  - 2006:     0.0150 percent of the time (3 hits)
  - 2011:    79.3260 percent of the time (15866 hits)
  - 2013:     0.0050 percent of the time (1 hits)
  - 2016:     0.0100 percent of the time (2 hits)
  - 2021:     5.5697 percent of the time (1114 hits)
  - 2022:     0.1050 percent of the time (21 hits)
  - 2023:    96.2952 percent of the time (19260 hits)
  - 2024:    85.3507 percent of the time (17071 hits)
  - 2026:     0.0450 percent of the time (9 hits)
  - 2027:     0.0100 percent of the time (2 hits)
  - 2037:     0.1800 percent of the time (36 hits)
  - 2042:     4.7498 percent of the time (950 hits)
  - 2043:     0.0250 percent of the time (5 hits)
  - 2052:    91.1554 percent of the time (18232 hits)
  - 2056:     0.0050 percent of the time (1 hits)
  - 2057:     0.0050 percent of the time (1 hits)
  - 2058:     0.0050 percent of the time (1 hits)
  - 2059:    14.7843 percent of the time (2957 hits)
  - 2066:     0.0150 percent of the time (3 hits)
  - 2074:     0.2200 percent of the time (44 hits)
  - 2075:     0.2150 percent of the time (43 hits)
  - 2076:    11.1144 percent of the time (2223 hits)
  - 2082:     0.0600 percent of the time (12 hits)
  - 2085:     0.6200 percent of the time (124 hits)
  - 2096:     0.0050 percent of the time (1 hits)
  - 2100:     0.2400 percent of the time (48 hits)
  - 2105:     0.0050 percent of the time (1 hits)
  - 2117:    20.1190 percent of the time (4024 hits)
  - 2120:     0.0900 percent of the time (18 hits)
  - 2121:    12.0844 percent of the time (2417 hits)
  - 2125:    91.4854 percent of the time (18298 hits)
  - 2135:     0.0200 percent of the time (4 hits)
  - 2138:     0.7050 percent of the time (141 hits)
  - 2139:     0.2200 percent of the time (44 hits)
  - 2147:     0.0050 percent of the time (1 hits)
  - 2148:     0.0050 percent of the time (1 hits)
  - 2150:     2.1499 percent of the time (430 hits)
  - 2151:     0.6800 percent of the time (136 hits)
  - 2153:     0.4600 percent of the time (92 hits)
  - 2158:    98.0351 percent of the time (19608 hits)
  - 2160:     0.1500 percent of the time (30 hits)
  - 2161:     0.9200 percent of the time (184 hits)
  - 2170:    98.9051 percent of the time (19782 hits)
  - 2173:     1.4899 percent of the time (298 hits)
  - 2190:     0.0600 percent of the time (12 hits)

Neighbor count histogram:

  - 0 Neighbors:  45.2761 percent of the time (905567 hits).
  - 1 Neighbors:  54.6880 percent of the time (1093815 hits).
  - 2 Neighbors:   0.0359 percent of the time (718 hits).

Listing for all sets of conditions:

*** Data for 1. set of conditions ***

    1095251 of 4400220000 molecules passed this set of conditions (0.0249 percent).

*** Condition 1 ***

    4400220000 molecules total, 1095251 passed (0.0249 percent).
    30801540000 subconditions total, 1095251 passed (0.0036 percent).

    Frequency table for Neighborhood between C2H3O2 and H   

          | Dist.  |    1       2       3       4       5       6       7   
    Angle | (all)  |   0.000    0.000    0.000    0.000    0.000    0.002    0.002 
    ------|--------|--------------------------------------------------------
        1 |100.000 |  0.000   0.000   0.000   0.000   0.000   0.002   0.002 


<<< End of Condition Data <<<

