
>>> Condition Data >>>

    9397345 of 4400220000 molecules passed the conditions (0.21 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 504:     1.5449 percent of the time (309 hits)
  - 507:    11.3794 percent of the time (2276 hits)
  - 508:    50.4425 percent of the time (10089 hits)
  - 509:    30.4885 percent of the time (6098 hits)
  - 510:     4.7448 percent of the time (949 hits)
  - 511:     7.2846 percent of the time (1457 hits)
  - 512:     8.8646 percent of the time (1773 hits)
  - 513:     7.5096 percent of the time (1502 hits)
  - 514:     8.4596 percent of the time (1692 hits)
  - 515:     3.5698 percent of the time (714 hits)
  - 516:     1.0849 percent of the time (217 hits)
  - 517:     2.6199 percent of the time (524 hits)
  - 518:   100.0000 percent of the time (20001 hits)
  - 520:     0.0250 percent of the time (5 hits)
  - 521:    72.2564 percent of the time (14452 hits)
  - 522:    26.7687 percent of the time (5354 hits)
  - 523:    65.9817 percent of the time (13197 hits)
  - 524:    29.7635 percent of the time (5953 hits)
  - 525:    53.6673 percent of the time (10734 hits)
  - 526:     3.5648 percent of the time (713 hits)
  - 527:     2.8449 percent of the time (569 hits)
